Date,Time,Status
2025-03-28,16:57:35,FALL DETECTED
2025-03-28,16:57:40,FALL DETECTED
2025-03-28,16:58:04,FALL DETECTED
2025-03-28,17:02:29,FALL DETECTED
2025-03-28,17:03:46,FALL DETECTED
2025-03-28,17:04:04,FALL DETECTED
2025-03-28,17:08:53,FALL DETECTED
2025-03-28,17:09:27,FALL DETECTED
2025-03-28,17:10:09,FALL DETECTED
2025-03-28,17:21:46,FALL DETECTED
2025-03-28,17:22:06,FALL DETECTED
2025-03-28,17:25:36,FALL DETECTED
2025-03-28,17:25:42,FALL DETECTED
2025-03-28,17:26:38,FALL DETECTED
2025-03-28,17:26:46,FALL DETECTED
2025-03-28,17:27:56,FALL DETECTED
2025-03-28,18:13:20,FALL DETECTED
2025-03-28,18:14:31,FALL DETECTED
2025-03-28,19:07:51,FALL DETECTED
2025-03-28,19:12:46,FALL DETECTED
2025-03-28,19:13:28,FALL DETECTED
2025-03-28,19:13:54,FALL DETECTED
2025-03-28,19:15:40,FALL DETECTED
2025-03-28,19:16:10,FALL DETECTED
2025-03-28,19:21:33,FALL DETECTED
2025-03-28,19:22:15,FALL DETECTED
2025-03-28,19:22:33,FALL DETECTED
2025-03-28,19:25:46,FALL DETECTED
2025-03-28,19:33:36,FALL DETECTED
2025-03-28,19:38:34,FALL DETECTED
2025-03-28,19:40:58,FALL DETECTED
2025-03-28,19:51:12,FALL DETECTED
2025-03-28,21:05:04,FALL DETECTED
2025-03-28,21:05:22,FALL DETECTED
2025-03-28,21:05:39,FALL DETECTED
2025-03-28,21:20:28,FALL DETECTED
2025-03-28,21:21:25,FALL DETECTED
2025-03-28,21:22:00,FALL DETECTED
2025-03-28,21:22:54,FALL DETECTED
2025-03-28,21:23:48,FALL DETECTED
2025-03-28,21:25:20,FALL DETECTED
2025-03-28,21:26:31,FALL DETECTED
2025-03-28,21:26:38,FALL DETECTED
2025-03-28,21:33:44,FALL DETECTED
2025-03-28,21:35:59,FALL DETECTED
2025-03-28,21:38:15,FALL DETECTED
2025-03-28,21:41:17,FALL DETECTED
2025-03-28,21:44:47,FALL DETECTED
2025-03-28,21:47:52,FALL DETECTED
2025-03-28,21:53:06,FALL DETECTED
2025-03-28,22:29:51,FALL DETECTED
2025-03-28,23:27:28,FALL DETECTED
2025-03-29,00:45:03,FALL DETECTED
2025-03-29,00:46:56,FALL DETECTED
2025-03-29,00:47:17,FALL DETECTED
2025-03-29,01:01:41,FALL DETECTED
2025-03-29,01:04:12,FALL DETECTED
2025-03-29,01:06:27,FALL DETECTED
2025-03-29,01:09:04,FALL DETECTED
2025-03-29,01:10:31,FALL DETECTED
2025-03-29,01:12:51,FALL DETECTED
2025-03-29,01:16:36,FALL DETECTED
2025-03-29,01:22:48,FALL DETECTED
2025-03-29,01:25:00,FALL DETECTED
2025-03-29,01:25:45,FALL DETECTED
2025-03-29,01:26:16,FALL DETECTED
2025-03-29,01:43:32,FALL DETECTED
2025-03-29,03:06:42,FALL DETECTED
2025-03-29,03:06:49,FALL DETECTED
2025-03-29,03:07:00,FALL DETECTED
2025-03-29,03:08:43,FALL DETECTED
2025-03-29,03:08:48,FALL DETECTED
2025-03-29,03:08:54,FALL DETECTED
2025-03-29,03:09:00,FALL DETECTED
2025-03-29,03:43:10,FALL DETECTED
2025-03-29,03:43:14,FALL DETECTED
2025-03-29,03:43:18,FALL DETECTED
2025-03-29,03:48:05,FALL DETECTED
2025-03-29,03:48:14,FALL DETECTED
2025-03-29,03:48:20,FALL DETECTED
2025-03-29,03:48:25,FALL DETECTED
2025-03-29,03:48:32,FALL DETECTED
2025-03-29,03:48:37,FALL DETECTED
2025-03-29,03:50:27,FALL DETECTED
2025-03-29,03:51:25,FALL DETECTED
2025-03-29,03:51:39,FALL DETECTED
